periodo,destino,exportaciones_musd,continente,subregion,pais
2024-08-01,América. América del Norte. Estados Unidos,1556.3566976,América,América del Norte,Estados Unidos
2024-09-01,América. América del Norte. Estados Unidos,1217.0267715,América,América del Norte,Estados Unidos
2024-10-01,América. América del Norte. Estados Unidos,1217.4131899,América,América del Norte,Estados Unidos
2024-11-01,América. América del Norte. Estados Unidos,1279.9954474,América,América del Norte,Estados Unidos
2024-12-01,América. América del Norte. Estados Unidos,1385.3161931,América,América del Norte,Estados Unidos
2025-01-01,América. América del Norte. Estados Unidos,1258.300056,América,América del Norte,Estados Unidos
2025-02-01,América. América del Norte. Estados Unidos,1476.7435483,América,América del Norte,Estados Unidos
2025-03-01,América. América del Norte. Estados Unidos,1755.3152793,América,América del Norte,Estados Unidos
2025-04-01,América. América del Norte. Estados Unidos,1754.8132355,América,América del Norte,Estados Unidos
2025-05-01,América. América del Norte. Estados Unidos,1582.9901958,América,América del Norte,Estados Unidos
2025-06-01,América. América del Norte. Estados Unidos,1501.2502292,América,América del Norte,Estados Unidos
2025-07-01,América. América del Norte. Estados Unidos,1372.3693108,América,América del Norte,Estados Unidos
2025-08-01,América. América del Norte. Estados Unidos,1008.8355126,América,América del Norte,Estados Unidos
2025-09-01,América. América del Norte. Estados Unidos,1447.9516778,América,América del Norte,Estados Unidos
2025-10-01,América. América del Norte. Estados Unidos,1375.349731,América,América del Norte,Estados Unidos
2025-11-01,América. América del Norte. Estados Unidos,1307.1799874,América,América del Norte,Estados Unidos
2025-12-01,América. América del Norte. Estados Unidos,1900.2716164,América,América del Norte,Estados Unidos
2026-01-01,América. América del Norte. Estados Unidos,1611.6085622,América,América del Norte,Estados Unidos
2026-02-01,América. América del Norte. Estados Unidos,1414.283347,América,América del Norte,Estados Unidos
2026-03-01,América. América del Norte. Estados Unidos,1919.8641893,América,América del Norte,Estados Unidos
2026-04-01,América. América del Norte. Estados Unidos,1609.5766654,América,América del Norte,Estados Unidos
2026-05-01,América. América del Norte. Estados Unidos,1636.8073153,América,América del Norte,Estados Unidos
2026-06-01,América. América del Norte. Estados Unidos,1861.519842,América,América del Norte,Estados Unidos
2003-01-01,América. América del Norte. México,72.17491181,América,América del Norte,México
2003-02-01,América. América del Norte. México,70.03558571,América,América del Norte,México
2003-03-01,América. América del Norte. México,64.777542662,América,América del Norte,México
2003-04-01,América. América del Norte. México,76.153028983,América,América del Norte,México
2003-05-01,América. América del Norte. México,75.02723896,América,América del Norte,México
2003-06-01,América. América del Norte. México,58.70326432,América,América del Norte,México
2003-07-01,América. América del Norte. México,85.967798251,América,América del Norte,México
2003-08-01,América. América del Norte. México,78.62837238,América,América del Norte,México
2003-09-01,América. América del Norte. México,76.590753386,América,América del Norte,México
2003-10-01,América. América del Norte. México,103.06626357,América,América del Norte,México
2003-11-01,América. América del Norte. México,81.22399623,América,América del Norte,México
2003-12-01,América. América del Norte. México,70.02613522,América,América del Norte,México
2004-01-01,América. América del Norte. México,84.91895085,América,América del Norte,México
2004-02-01,América. América del Norte. México,87.29984327,América,América del Norte,México
2004-03-01,América. América del Norte. México,116.72121143,América,América del Norte,México
2004-04-01,América. América del Norte. México,113.02478594,América,América del Norte,México
2004-05-01,América. América del Norte. México,90.71234154,América,América del Norte,México
2004-06-01,América. América del Norte. México,100.9367865,América,América del Norte,México
2004-07-01,América. América del Norte. México,122.26772791,América,América del Norte,México
2004-08-01,América. América del Norte. México,118.05255102,América,América del Norte,México
2004-09-01,América. América del Norte. México,126.59252702,América,América del Norte,México
2004-10-01,América. América del Norte. México,104.73201067,América,América del Norte,México
2004-11-01,América. América del Norte. México,147.19555939,América,América del Norte,México
2004-12-01,América. América del Norte. México,132.00403162,América,América del Norte,México
2005-01-01,América. América del Norte. México,102.33406539,América,América del Norte,México
2005-02-01,América. América del Norte. México,104.09794286,América,América del Norte,México
2005-03-01,América. América del Norte. México,125.12321043,América,América del Norte,México
2005-04-01,América. América del Norte. México,133.13785018,América,América del Norte,México
2005-05-01,América. América del Norte. México,113.90736657,América,América del Norte,México
2005-06-01,América. América del Norte. México,129.740988,América,América del Norte,México
2005-07-01,América. América del Norte. México,150.62042095,América,América del Norte,México
2005-08-01,América. América del Norte. México,149.89962678,América,América del Norte,México
